2018-07-22 16:50:50 - INFO - saving to ./results/cifar100
2018-07-22 16:50:50 - DEBUG - run arguments: Namespace(batch_size=32, dataset='cifar100', epochs=100, evaluate=None, gpus='0', input_size=None, lr=0.1, model='vgg_cifar10_binary', model_config='', momentum=0.9, optimizer='SGD', print_freq=10, results_dir='./results', resume='', save='cifar100', start_epoch=0, type='torch.cuda.FloatTensor', weight_decay=0.0001, workers=8)
2018-07-22 16:50:50 - INFO - creating model vgg_cifar10_binary
2018-07-22 16:50:51 - INFO - created model with configuration: {'input_size': None, 'dataset': 'cifar100'}
2018-07-22 16:50:51 - INFO - number of parameters: 36626276
2018-07-22 16:53:00 - INFO - training regime: {0: {'optimizer': 'Adam', 'betas': (0.9, 0.999), 'lr': 0.005}, 40: {'lr': 0.001}, 80: {'lr': 0.0005}, 100: {'lr': 0.0001}, 120: {'lr': 5e-05}, 140: {'lr': 1e-05}}
2018-07-22 16:53:00 - DEBUG - OPTIMIZER - setting method = Adam
2018-07-22 16:53:00 - DEBUG - OPTIMIZER - setting lr = 0.005
2018-07-22 16:53:00 - DEBUG - OPTIMIZER - setting betas = (0.9, 0.999)
2018-07-22 16:53:28 - INFO - TRAINING - Epoch: [0][430/1563]	Time 0.058 (0.065)	Data 0.000 (0.006)	Loss 4.4613 (4.7338)	Prec@1 3.125 (2.088)	Prec@5 9.375 (8.867)
2018-07-22 16:53:29 - INFO - TRAINING - Epoch: [0][440/1563]	Time 0.058 (0.065)	Data 0.000 (0.006)	Loss 4.5298 (4.7290)	Prec@1 3.125 (2.083)	Prec@5 9.375 (8.936)
2018-07-22 16:53:29 - INFO - TRAINING - Epoch: [0][450/1563]	Time 0.058 (0.064)	Data 0.000 (0.006)	Loss 4.5311 (4.7260)	Prec@1 6.250 (2.072)	Prec@5 18.750 (8.945)
2018-07-22 16:53:30 - INFO - TRAINING - Epoch: [0][460/1563]	Time 0.058 (0.064)	Data 0.000 (0.006)	Loss 4.5815 (4.7229)	Prec@1 3.125 (2.115)	Prec@5 12.500 (9.050)
2018-07-22 16:53:30 - INFO - TRAINING - Epoch: [0][470/1563]	Time 0.058 (0.064)	Data 0.000 (0.006)	Loss 4.4479 (4.7207)	Prec@1 0.000 (2.176)	Prec@5 9.375 (9.096)
2018-07-22 16:53:31 - INFO - TRAINING - Epoch: [0][480/1563]	Time 0.058 (0.064)	Data 0.000 (0.006)	Loss 4.4471 (4.7155)	Prec@1 0.000 (2.163)	Prec@5 12.500 (9.213)
2018-07-22 16:53:32 - INFO - TRAINING - Epoch: [0][490/1563]	Time 0.058 (0.064)	Data 0.000 (0.006)	Loss 4.5912 (4.7136)	Prec@1 3.125 (2.196)	Prec@5 15.625 (9.299)
2018-07-22 16:53:32 - INFO - TRAINING - Epoch: [0][500/1563]	Time 0.058 (0.064)	Data 0.000 (0.006)	Loss 4.1156 (4.7093)	Prec@1 0.000 (2.189)	Prec@5 21.875 (9.400)
2018-07-22 16:53:33 - INFO - TRAINING - Epoch: [0][510/1563]	Time 0.058 (0.064)	Data 0.000 (0.006)	Loss 4.3400 (4.7058)	Prec@1 3.125 (2.195)	Prec@5 9.375 (9.455)
2018-07-22 16:53:33 - INFO - TRAINING - Epoch: [0][520/1563]	Time 0.059 (0.064)	Data 0.000 (0.006)	Loss 4.4139 (4.7021)	Prec@1 3.125 (2.195)	Prec@5 3.125 (9.459)
